aisle,items,uniqueItems,satOrders,contained,isUsed,rareness
0,32,2,2,2,False,0.15831198586882167
1,8,1,1,9,False,0.0014781959282405795
2,14,1,1,1,False,0.2592579629694444
3,48,1,1,0,False,0.19047555555767196
4,12,1,1,10,False,0.002217293892360869
5,16,1,1,17,False,0.002956391856481159
6,4,1,1,3,False,0.0007390979641202898
7,8,1,1,1,False,0.05263144736875001
8,88,1,1,2,False,0.18803356125565054
9,19,1,1,20,False,0.0035107153295713765
10,126,3,3,2,True,1.1424290230056813
11,1,1,1,1,False,0.00018477449103007244
12,20,1,1,0,False,0.04273490028537512
13,17,1,1,18,False,0.0031411663475112315
14,6,1,1,0,False,0.03947358552656251
15,4,1,1,3,False,0.0007390979641202898
16,48,1,1,1,False,0.1025637606849003
17,1,1,1,1,False,0.00018477449103007244
18,8,1,1,9,False,0.0014781959282405795
19,13,1,1,11,False,0.0024020683833909416
20,14,1,1,13,False,0.002586842874421014
21,8,1,1,9,False,0.0014781959282405795
22,15,1,1,14,False,0.0027716173654510866
23,13,1,1,0,False,0.24073953704305553
24,14,1,1,13,False,0.002586842874421014
25,5,1,1,4,False,0.0009238724551503622
26,8,1,1,9,False,0.0014781959282405795
27,6,1,1,5,False,0.0011086469461804346
28,16,1,1,17,False,0.002956391856481159
29,16,1,1,17,False,0.002956391856481159
30,23,1,1,21,False,0.004249813293691666
31,18,1,1,19,False,0.003325940838541304
32,8,1,1,0,False,0.9999900000999989
