aisle,items,uniqueItems,satOrders,contained,isUsed
0,40,2,0,2,False
1,7,2,0,5,False
2,31,5,0,8,True
3,1,1,0,0,False
4,2,1,0,0,False
5,1,1,0,0,False
6,12,1,0,0,False
7,15,2,0,3,False
8,5,1,0,2,False
9,1,1,0,0,False
10,23,3,0,0,False
11,11,1,0,0,False
12,27,2,0,0,False
13,1,1,0,2,False
14,3,1,0,1,False
15,1,1,0,0,False
16,26,3,0,0,False
17,21,2,0,0,False
18,19,1,0,2,False
19,35,4,0,4,False
20,2,2,0,0,False
21,6,1,0,4,False
22,2,1,0,0,False
23,61,4,0,5,True
24,1,1,0,1,False
25,2,1,0,2,False
26,20,1,0,1,False
27,339,3,0,0,False
28,54,4,0,2,False
29,14,1,0,1,False
30,37,2,0,3,False
31,3,1,0,1,False
32,72,1,0,0,False
33,51,2,0,1,False
34,2,1,0,2,False
35,21,2,0,5,False
36,3,1,0,1,False
37,15,1,0,2,False
38,24,4,0,1,False
39,16,2,0,0,False
40,8,1,0,1,False
41,1,1,0,2,False
42,11,1,0,0,False
43,11,2,0,0,False
44,22,2,0,4,False
45,5,2,0,1,False
46,19,1,0,0,False
47,2,1,0,0,False
48,23,2,0,1,False
49,8,1,0,0,False
50,7,2,0,1,False
51,21,1,0,0,False
52,21,2,0,3,False
53,11,2,0,1,False
54,959,5,0,1,False
55,7,3,0,4,False
56,6,1,0,0,False
57,6,1,0,1,False
58,21,1,0,1,False
59,4,1,0,0,False
60,15,2,0,2,False
61,42,1,0,0,False
62,13,2,0,0,False
63,1,1,0,2,False
64,13,2,0,3,False
65,2,1,0,0,False
66,14,2,0,4,False
67,18,2,0,0,False
68,4,1,0,0,False
69,3,1,0,0,False
70,6,4,0,1,False
71,25,1,0,1,False
72,56,2,0,3,False
73,2,1,0,0,False
74,9,2,0,2,False
75,59,3,0,5,False
76,5,1,0,0,False
77,24,1,0,0,False
78,2,1,0,0,False
79,2,1,0,0,False
80,2,1,0,0,False
81,9,1,0,5,False
82,5,1,0,1,False
83,7,2,0,0,False
84,9,1,0,0,False
85,4,1,0,3,False
86,12,2,0,1,False
87,5,1,0,2,False
88,32,2,0,1,False
89,1,1,0,1,False
90,51,3,0,0,False
