pasillo,items,uniqueItems,satOrders
0,140,51,1
1,130,42,0
2,40,15,0
3,243,29,0
4,130,47,0
5,62,28,0
6,110,34,2
7,56,21,0
8,262,49,1
9,324,43,0
10,56,18,1
11,35,11,0
12,526,4,0
13,80,29,0
14,87,22,0
15,29,8,2
16,202,38,0
17,196,44,1
18,114,29,0
19,70,27,0
20,150,33,3
21,162,33,2
22,206,51,3
23,105,45,0
24,87,15,0
25,150,50,0
26,121,21,0
27,31,9,0
28,1,1,0
29,21,11,2
30,72,27,0
31,126,40,1
32,165,35,0
33,63,21,1
34,257,62,1
35,185,49,0
36,153,28,0
37,137,28,0
38,22,8,0
39,102,31,0
40,182,23,0
41,179,45,0
42,34,14,0
43,1040,11,3
44,658,16,3
45,112,37,0
46,164,37,1
47,203,57,1
48,180,34,0
49,118,32,0
50,150,36,0
51,72,25,0
52,103,48,1
53,273,59,1
54,147,38,1
55,347,51,2
56,21,14,0
57,339,6,0
58,71,23,1
59,110,22,0
60,5,1,0
61,33,11,1
62,168,44,1
63,101,40,0
64,122,26,0
65,120,27,0
66,175,39,1
67,159,30,1
68,220,45,1
69,218,45,1
70,74,4,0
71,126,38,0
72,22,10,0
73,113,17,0
74,11,8,0
75,176,41,1
76,97,27,0
77,127,40,0
78,155,27,0
79,167,51,0
80,185,50,0
81,76,24,0
82,135,31,0
83,70,18,1
84,223,32,0
85,134,19,0
86,80,17,0
87,102,39,0
88,312,3,0
89,2,1,0
90,1584,15,1
91,126,39,0
92,122,34,0
93,60,32,0
94,125,39,0
95,89,30,1
96,242,48,0
97,85,24,0
98,135,30,0
99,311,67,1
100,172,43,0
101,168,33,1
102,31,15,0
103,671,6,0
104,112,25,0
105,48,17,0
106,2,1,0
107,13,4,0
108,31,12,1
109,110,32,1
110,123,40,1
111,65,26,0
112,85,31,0
113,228,41,2
114,127,33,0
115,250,46,2
116,170,41,1
117,116,17,1
118,89,21,0
119,89,23,0
120,85,18,0
121,1,1,0
122,3,2,0
123,188,47,0
124,153,40,0
125,79,23,1
126,117,34,0
127,129,34,1
128,116,25,0
129,46,21,0
130,107,34,1
131,6,5,0
132,72,19,0
133,156,42,0
134,46,15,0
135,90,25,0
136,235,3,0
137,7,2,0
138,425,19,3
139,154,47,0
140,192,29,0
141,60,16,0
142,175,41,0
143,61,24,0
144,65,27,0
145,107,28,0
146,270,64,1
147,96,29,1
148,437,48,0
149,68,13,0
150,99,18,0
151,136,27,0
152,34,9,1
153,105,30,0
154,104,37,0
155,87,29,0
156,143,34,0
157,300,52,1
158,139,34,2
159,118,28,2
160,214,51,1
161,147,17,0
162,121,34,0
163,114,11,0
164,59,16,0
165,9,4,1
166,38,10,0
167,110,31,1
168,103,30,0
169,271,56,0
170,67,20,0
171,123,43,0
172,137,32,0
173,152,26,0
174,54,22,0
175,199,45,0
176,102,30,1
177,3,3,0
178,127,25,0
179,1252,6,3
180,6,2,0
181,317,9,1
182,233,49,0
183,40,7,0
184,155,31,0
185,122,50,0
186,80,34,1
187,87,25,0
188,366,60,1
189,76,13,0
190,109,36,0
191,112,30,0
192,115,35,0
193,43,17,0
194,25,13,1
195,127,30,0
196,161,46,0
197,211,42,0
198,141,27,0
199,171,42,3
200,269,54,3
201,220,45,0
202,176,39,2
203,144,16,0
204,92,28,0
205,116,36,0
206,129,16,0
207,75,15,1
208,82,23,0
209,79,29,0
210,177,68,0
211,77,20,0
212,173,38,0
213,134,50,0
214,133,36,0
215,69,26,1
216,142,46,0
217,150,40,1
218,100,24,0
219,32,19,0
220,1142,4,3
221,51,9,1
222,141,39,0
223,208,43,2
224,132,40,0
225,76,25,0
226,124,25,1
227,180,51,0
228,54,14,0
229,47,6,0
230,14,4,0
231,105,29,1
232,71,18,0
233,21,8,1
234,126,40,0
235,164,34,0
236,147,46,0
237,160,25,0
238,167,49,0
239,228,54,1
240,122,34,1
241,61,27,1
242,33,9,1
243,130,29,1
244,140,36,0
245,61,19,0
246,415,12,0
247,110,23,0
248,123,36,0
249,229,34,0
250,129,28,0
251,127,34,0
252,145,41,0
253,106,36,0
254,186,29,0
255,203,38,0
256,79,24,0
257,38,22,0
258,16,11,1
259,1407,8,0
260,73,10,0
261,156,43,1
262,105,36,0
263,97,40,0
264,65,23,0
265,82,25,0
266,206,40,0
267,73,13,1
268,29,9,1
269,64,13,0
270,91,19,0
271,54,22,0
272,1,1,0
273,19,13,0
274,88,37,0
275,98,25,0
276,70,21,0
277,171,46,1
278,109,40,1
279,96,26,2
280,263,57,3
281,112,33,0
282,171,17,0
283,88,30,0
284,71,23,1
285,114,33,1
286,137,38,0
287,259,23,0
288,152,36,0
289,153,33,0
290,202,51,0
291,119,25,1
292,112,29,1
293,160,37,0
294,106,28,1
295,112,24,0
296,72,33,0
297,126,44,0
298,36,15,0
299,16,10,0
300,52,2,0
301,91,28,0
302,8,6,0
303,158,51,1
304,118,32,0
