pasillo,items,uniqueItems,satOrders
318,132,42,0
317,112,43,0
109,163,48,3
103,273,39,2
311,204,65,0
102,163,35,2
309,199,54,0
308,184,51,2
305,165,29,0
96,151,57,1
300,120,54,1
296,189,55,0
88,147,55,2
86,120,39,0
292,131,45,2
288,143,45,1
77,169,49,1
283,154,55,0
73,102,38,0
71,99,39,0
70,111,23,0
69,92,18,0
68,258,41,2
273,204,58,0
64,188,36,1
63,101,43,0
266,153,54,1
265,94,15,2
53,329,57,6
259,47,18,0
257,140,52,1
255,166,52,1
49,125,42,1
253,126,46,0
47,166,43,0
252,160,44,0
248,133,36,0
42,3313,6,1
244,123,37,0
40,157,40,1
39,179,49,0
38,69,34,0
36,149,53,0
241,236,47,6
240,233,65,0
234,109,38,0
28,170,21,2
27,81,55,0
25,150,40,0
228,83,16,1
21,186,40,0
16,162,47,1
219,120,39,0
215,119,51,0
212,167,47,0
9,269,48,1
8,118,27,0
7,103,39,0
211,167,73,0
210,88,39,0
4,221,79,0
1,189,45,0
199,214,52,0
197,161,54,0
193,147,39,0
192,82,35,0
191,283,47,2
187,126,42,1
184,132,54,3
182,180,62,2
174,125,35,2
172,124,43,0
378,124,39,0
169,148,48,0
375,92,20,1
167,328,72,1
370,135,37,1
162,247,33,0
159,146,31,1
364,91,34,0
157,141,36,2
155,152,40,0
153,165,60,0
150,132,39,1
358,142,28,3
149,109,35,0
356,115,42,1
148,105,34,0
354,194,74,2
147,85,43,0
146,214,42,0
351,154,31,1
144,142,44,0
343,116,43,0
342,128,47,0
341,131,60,0
132,108,44,1
129,125,44,1
334,164,49,0
125,199,56,0
327,251,65,0
324,172,47,0
114,121,36,3
