it,obj,tiempo
0,18.108040201005025,0
1,18.291878172588895,0
2,80.97752808988719,3
3,84.78823529411754,1
4,91.06849315068486,2
5,95.31884057971016,1
6,101.79310344827594,2
7,105.53703703703698,0
8,139.62962962962965,3
9,146.82608695652178,0
10,157.1176470588235,3
11,162.13333333333338,3
12,166.1428571428571,26
13,166.14285714285717,7
14,166.14285714285717,79
15,166.14285714285717,7
16,166.14285714285717,82
17,166.14285714285717,7
18,166.14285714285717,80
19,166.14285714285717,13
20,166.14285714285717,79
21,166.14285714285717,7
22,166.14285714285717,79
23,166.14285714285717,8
24,166.14285714285717,79
25,166.14285714285717,9
26,166.14285714285717,13
