order,items,uniqueItems,isUsed,rareness
0,1,22,True,0.9999900000999989
1,1,372,False,0.9999900000999989
2,1,269,True,0.9999900000999989
3,1,224,True,0.9999900000999989
4,1,290,False,0.9999900000999989
5,1,202,False,0.9999900000999989
6,1,313,False,0.9999900000999989
7,1,118,False,0.9999900000999989
8,1,312,False,0.9999900000999989
9,1,409,False,0.9999900000999989
10,1,397,False,0.9999900000999989
11,1,276,False,0.9999900000999989
12,1,47,False,0.9999900000999989
13,1,302,False,0.9999900000999989
14,1,306,False,0.9999900000999989
15,1,116,False,0.9999900000999989
16,1,299,True,0.9999900000999989
17,1,255,False,0.9999900000999989
18,1,385,False,0.24999875000624996
19,1,217,False,0.9999900000999989
20,1,337,False,0.9999900000999989
21,1,326,False,0.9999900000999989
22,1,405,False,0.9999900000999989
23,1,331,False,0.9999900000999989
24,1,237,False,0.9999900000999989
25,1,310,False,0.9999900000999989
26,1,225,True,0.9999900000999989
27,1,292,True,0.9999900000999989
28,1,196,False,0.9999900000999989
29,1,340,False,0.9999900000999989
30,1,199,False,0.9999900000999989
31,1,240,False,0.9999900000999989
32,1,207,False,0.9999900000999989
33,1,101,True,0.9999900000999989
34,1,334,False,0.9999900000999989
35,1,57,False,0.9999900000999989
36,1,403,False,0.9999900000999989
37,1,10,False,0.9999900000999989
38,1,204,False,0.9999900000999989
39,1,128,False,0.9999900000999989
40,1,399,False,0.9999900000999989
41,1,186,False,0.9999900000999989
42,1,19,False,0.9999900000999989
43,1,63,False,0.9999900000999989
44,1,361,True,0.9999900000999989
45,1,67,True,0.9999900000999989
46,1,7,False,0.9999900000999989
47,1,390,True,0.9999900000999989
48,1,303,False,0.9999900000999989
49,1,124,True,0.9999900000999989
50,1,391,False,0.9999900000999989
51,1,235,False,0.9999900000999989
52,1,201,True,0.9999900000999989
53,1,231,False,0.9999900000999989
54,1,53,False,0.9999900000999989
55,1,386,False,0.9999900000999989
56,1,348,False,0.9999900000999989
57,1,242,False,0.9999900000999989
58,1,355,False,0.9999900000999989
59,1,330,False,0.9999900000999989
60,1,65,False,0.9999900000999989
61,1,288,False,0.9999900000999989
62,1,295,False,0.9999900000999989
63,1,176,False,0.9999900000999989
64,1,298,True,0.9999900000999989
65,1,6,False,0.9999900000999989
66,1,307,False,0.9999900000999989
67,1,58,False,0.9999900000999989
68,1,73,False,0.9999900000999989
69,1,81,False,0.9999900000999989
70,1,247,False,0.9999900000999989
71,1,52,False,0.9999900000999989
72,1,175,False,0.9999900000999989
73,1,349,False,0.9999900000999989
74,1,139,False,0.9999900000999989
75,1,137,False,0.9999900000999989
76,1,406,False,0.9999900000999989
77,1,394,False,0.9999900000999989
78,1,125,True,0.9999900000999989
79,1,205,False,0.9999900000999989
80,1,4,False,0.9999900000999989
81,1,154,False,0.9999900000999989
82,1,320,False,0.9999900000999989
83,1,24,False,0.9999900000999989
84,1,29,True,0.9999900000999989
85,1,388,True,0.9999900000999989
86,1,141,False,0.9999900000999989
87,1,227,False,0.9999900000999989
88,1,356,False,0.9999900000999989
89,1,104,False,0.9999900000999989
90,1,402,False,0.9999900000999989
91,1,112,False,0.9999900000999989
92,1,37,False,0.9999900000999989
93,1,133,True,0.9999900000999989
94,1,346,False,0.24999875000624996
95,1,401,False,0.24999875000624996
96,1,344,False,0.9999900000999989
97,1,1,False,0.9999900000999989
98,1,239,False,0.9999900000999989
99,1,76,False,0.9999900000999989
100,1,188,False,0.9999900000999989
101,1,365,True,0.9999900000999989
102,1,327,False,0.9999900000999989
103,1,323,True,0.9999900000999989
104,1,215,False,0.9999900000999989
105,1,357,False,0.9999900000999989
106,1,107,True,0.9999900000999989
107,1,393,False,0.9999900000999989
108,1,322,False,0.9999900000999989
109,1,105,True,0.9999900000999989
110,1,220,True,0.9999900000999989
111,1,264,False,0.9999900000999989
112,1,83,False,0.9999900000999989
113,1,39,True,0.9999900000999989
114,1,244,True,0.9999900000999989
115,1,254,False,0.9999900000999989
116,1,48,False,0.9999900000999989
117,1,130,False,0.9999900000999989
118,1,191,False,0.9999900000999989
119,1,291,False,0.9999900000999989
120,1,401,False,0.24999875000624996
121,1,256,False,0.9999900000999989
122,1,304,False,0.9999900000999989
123,1,285,False,0.9999900000999989
124,1,28,False,0.9999900000999989
125,1,229,False,0.9999900000999989
126,1,184,False,0.9999900000999989
127,1,249,True,0.24999875000624996
128,1,278,True,0.9999900000999989
129,1,108,False,0.9999900000999989
130,1,45,False,0.9999900000999989
131,1,309,False,0.9999900000999989
132,1,270,False,0.9999900000999989
133,1,153,False,0.9999900000999989
134,1,262,False,0.9999900000999989
135,1,181,False,0.9999900000999989
136,1,216,True,0.9999900000999989
137,1,251,False,0.9999900000999989
138,1,163,True,0.9999900000999989
139,1,187,False,0.9999900000999989
140,1,300,False,0.9999900000999989
141,1,345,False,0.9999900000999989
142,1,168,False,0.9999900000999989
143,1,315,False,0.9999900000999989
144,1,136,False,0.9999900000999989
145,1,260,False,0.9999900000999989
146,1,342,False,0.9999900000999989
147,1,93,False,0.9999900000999989
148,1,286,False,0.9999900000999989
149,1,294,False,0.9999900000999989
150,1,160,False,0.9999900000999989
151,1,142,False,0.9999900000999989
152,1,226,True,0.9999900000999989
153,1,82,True,0.9999900000999989
154,1,194,True,0.9999900000999989
155,1,339,True,0.9999900000999989
156,1,213,False,0.9999900000999989
157,1,59,False,0.9999900000999989
158,1,166,False,0.9999900000999989
159,1,359,False,0.9999900000999989
160,1,280,False,0.9999900000999989
161,1,318,False,0.9999900000999989
162,1,324,False,0.9999900000999989
163,1,211,False,0.9999900000999989
164,1,115,False,0.9999900000999989
165,1,16,False,0.9999900000999989
166,1,90,False,0.9999900000999989
167,1,88,False,0.9999900000999989
168,1,351,False,0.9999900000999989
169,1,367,False,0.9999900000999989
170,1,17,False,0.9999900000999989
171,1,343,True,0.9999900000999989
172,1,370,False,0.9999900000999989
173,1,347,False,0.9999900000999989
174,1,34,False,0.9999900000999989
175,1,158,False,0.9999900000999989
176,1,33,False,0.9999900000999989
177,1,400,False,0.9999900000999989
178,1,362,False,0.9999900000999989
179,1,273,False,0.9999900000999989
180,1,221,False,0.9999900000999989
181,1,178,False,0.9999900000999989
182,1,62,False,0.9999900000999989
183,1,305,True,0.9999900000999989
184,1,206,False,0.9999900000999989
185,1,102,False,0.9999900000999989
186,1,145,False,0.9999900000999989
187,1,277,False,0.9999900000999989
188,1,100,False,0.9999900000999989
189,1,271,False,0.9999900000999989
190,1,296,False,0.9999900000999989
191,1,381,False,0.9999900000999989
192,1,0,True,0.9999900000999989
193,1,289,False,0.9999900000999989
194,1,56,False,0.9999900000999989
195,1,60,False,0.9999900000999989
196,1,79,False,0.9999900000999989
197,1,99,False,0.9999900000999989
198,1,236,False,0.9999900000999989
199,1,2,False,0.9999900000999989
200,1,200,False,0.9999900000999989
201,1,71,True,0.9999900000999989
202,1,64,False,0.9999900000999989
203,1,378,True,0.9999900000999989
204,1,275,False,0.9999900000999989
205,1,44,False,0.9999900000999989
206,1,316,False,0.9999900000999989
207,1,157,False,0.9999900000999989
208,1,92,False,0.9999900000999989
209,1,392,True,0.9999900000999989
210,1,74,False,0.9999900000999989
211,1,170,False,0.9999900000999989
212,1,106,False,0.9999900000999989
213,1,189,True,0.9999900000999989
214,1,321,False,0.9999900000999989
215,1,150,False,0.9999900000999989
216,1,8,False,0.9999900000999989
217,1,395,True,0.9999900000999989
218,1,369,False,0.9999900000999989
219,1,410,False,0.9999900000999989
220,1,272,False,0.9999900000999989
221,1,301,True,0.9999900000999989
222,1,380,True,0.9999900000999989
223,1,274,False,0.9999900000999989
224,1,162,False,0.9999900000999989
225,1,156,False,0.9999900000999989
226,1,94,False,0.9999900000999989
227,1,374,True,0.9999900000999989
228,1,233,False,0.9999900000999989
229,1,373,False,0.9999900000999989
230,1,132,False,0.9999900000999989
231,1,165,False,0.9999900000999989
232,1,151,True,0.9999900000999989
233,1,78,False,0.9999900000999989
234,1,375,False,0.9999900000999989
235,1,281,False,0.9999900000999989
236,1,218,False,0.9999900000999989
237,1,332,False,0.9999900000999989
238,1,214,False,0.9999900000999989
239,1,368,True,0.9999900000999989
240,1,283,False,0.9999900000999989
241,1,43,True,0.9999900000999989
242,1,293,False,0.9999900000999989
243,1,346,False,0.24999875000624996
244,1,287,False,0.9999900000999989
245,1,121,False,0.9999900000999989
246,1,180,False,0.9999900000999989
247,1,27,False,0.24999875000624996
248,1,122,False,0.9999900000999989
249,1,377,False,0.9999900000999989
250,1,267,False,0.9999900000999989
251,1,263,False,0.9999900000999989
252,1,26,False,0.9999900000999989
253,1,222,False,0.9999900000999989
254,1,96,False,0.9999900000999989
255,1,384,False,0.9999900000999989
256,1,91,False,0.9999900000999989
257,1,36,True,0.9999900000999989
258,1,407,False,0.9999900000999989
259,1,335,False,0.9999900000999989
260,1,358,False,0.9999900000999989
261,1,32,False,0.9999900000999989
262,1,126,False,0.9999900000999989
263,1,21,False,0.9999900000999989
264,1,84,True,0.9999900000999989
265,1,138,False,0.9999900000999989
266,1,9,True,0.9999900000999989
267,1,49,False,0.9999900000999989
268,1,97,True,0.9999900000999989
269,1,11,False,0.9999900000999989
270,1,89,False,0.9999900000999989
271,1,183,False,0.9999900000999989
272,1,203,False,0.9999900000999989
273,1,232,False,0.9999900000999989
274,1,54,False,0.9999900000999989
275,1,408,False,0.9999900000999989
276,1,371,False,0.9999900000999989
277,1,185,False,0.9999900000999989
278,1,68,False,0.9999900000999989
279,1,396,False,0.9999900000999989
280,1,265,False,0.9999900000999989
281,1,129,False,0.9999900000999989
282,1,360,False,0.9999900000999989
283,1,198,False,0.9999900000999989
284,1,87,False,0.9999900000999989
285,1,86,False,0.9999900000999989
286,1,149,False,0.9999900000999989
287,1,18,False,0.9999900000999989
288,1,120,True,0.9999900000999989
289,1,135,False,0.9999900000999989
290,1,238,True,0.9999900000999989
291,1,336,True,0.9999900000999989
292,1,328,False,0.9999900000999989
293,1,404,False,0.9999900000999989
294,1,46,False,0.9999900000999989
295,1,114,False,0.9999900000999989
296,1,75,False,0.9999900000999989
297,1,169,False,0.9999900000999989
298,1,179,False,0.9999900000999989
299,1,131,False,0.24999875000624996
300,1,241,False,0.9999900000999989
301,1,252,False,0.9999900000999989
302,1,159,False,0.9999900000999989
303,1,383,False,0.9999900000999989
304,1,5,False,0.9999900000999989
