instancia,ordenes,pasillos,usados,obj,expected,error,tiempo,it
instance_0001,11321,185,2,631.5,631.5,0.0,2.0,5
instance_0002,2162,165,11,180.63636363636363,180.64,0.003636363636360329,20.0,5
instance_0003,2070,164,5,149.6,149.6,0.0,46.0,6
instance_0004,2448,163,17,155.8235294117647,155.67,0.15352941176470836,596.0,11
instance_0005,6468,179,3,368.0,368.0,0.0,2.0,4
instance_0006,1857,165,24,83.45833333333333,83.97,0.5116666666666703,596.0,11
instance_0007,1841,165,1,108.0,108.0,0.0,1.0,5
instance_0008,12334,398,10,227.1,227.1,0.0,102.0,8
instance_0009,5581,417,14,82.5,82.5,0.0,21.0,6
instance_0010,14952,482,3,444.0,444.0,0.0,22.0,4
instance_0011,45112,482,10,892.2,898.8,6.599999999999909,596.0,12
instance_0012,28263,483,11,565.0,567.64,2.6399999999999864,596.0,11
instance_0013,38214,483,9,750.2222222222222,756.78,6.557777777777801,596.0,14
instance_0014,38202,483,6,879.1666666666666,885.17,6.00333333333333,596.0,14
instance_0015,11541,398,14,166.14285714285714,166.14,0.0028571428571524393,315.0,9
Tiempo total,0,0,0,,,,68.45,0
