instancia,ordenes,pasillos,usados,obj,expected,error,tiempo,it
instance_0001,11321,185,2,631.5,631.5,0.0,2.0,2
instance_0002,2162,165,11,180.63636363636363,180.64,0.003636363636360329,27.0,3
instance_0003,2070,164,5,149.6,149.6,0.0,57.0,3
instance_0004,2448,163,18,154.94444444444446,155.67,0.7255555555555304,181.0,3
instance_0005,6468,179,3,368.0,368.0,0.0,1.0,2
instance_0006,1857,165,39,83.05128205128206,83.97,0.9187179487179407,181.0,3
instance_0007,1841,165,1,108.0,108.0,0.0,1.0,3
instance_0008,12334,398,10,227.1,227.1,0.0,36.0,2
instance_0009,5581,417,14,82.5,82.5,0.0,5.0,2
instance_0010,14952,482,3,444.0,444.0,0.0,9.0,2
instance_0011,45112,482,10,884.5,898.8,14.299999999999955,128.0,2
instance_0012,28263,483,11,567.0909090909091,567.64,0.5490909090908644,308.0,5
instance_0013,38214,483,9,739.7777777777778,756.78,17.002222222222144,126.0,2
instance_0014,38202,483,6,880.1666666666666,885.17,5.00333333333333,186.0,3
instance_0015,11541,398,14,166.14285714285714,166.14,0.0028571428571524393,89.0,2
Tiempo total,0,0,0,,,,22.283333333333335,0
