instancia,ordenes,pasillos,usados,obj,expected,error,tiempo,it
instance_0001,11321,185,2,631.5,631.5,0.0,32.0,30
instance_0002,2162,165,11,180.63636363636363,180.64,0.003636363636360329,84.0,30
instance_0003,2070,164,5,149.6,149.6,0.0,400.0,30
instance_0004,2448,163,17,155.94117647058823,155.67,0.27117647058824446,600.0,30
instance_0005,6468,179,3,368.0,368.0,0.0,16.0,30
instance_0006,1857,165,36,84.02777777777777,83.97,0.0577777777777726,600.0,5
instance_0007,1841,165,1,108.0,108.0,0.0,4.0,30
instance_0008,12334,398,10,227.1,227.1,0.0,426.0,30
instance_0009,5581,417,14,82.5,82.5,0.0,99.0,30
instance_0010,14952,482,3,444.0,444.0,0.0,132.0,30
instance_0011,45112,482,10,897.6,898.8,1.1999999999999318,600.0,6
instance_0012,28263,483,11,566.5454545454545,567.64,1.0945454545454822,600.0,5
instance_0013,38214,483,9,757.1111111111111,756.78,0.33111111111111313,600.0,8
instance_0014,38202,483,6,885.1666666666666,885.17,0.0033333333333303017,600.0,9
instance_0015,11541,398,14,166.14285714285714,166.14,0.0028571428571524393,600.0,30
Tiempo total,0,0,0,,,,89.88333333333334,0
