instancia,ordenes,pasillos,usados,obj,expected,error,tiempo,it
instance_0001,11321,185,2,631.5,631.5,0.0,4.0,5
instance_0002,2162,165,11,180.63636363636363,180.64,0.003636363636360329,51.0,6
instance_0003,2070,164,5,149.6,149.6,0.0,89.0,6
instance_0004,2448,163,18,155.66666666666666,155.67,0.0033333333333303017,596.0,6
instance_0005,6468,179,3,368.0,368.0,0.0,3.0,4
instance_0006,1857,165,39,83.56410256410257,83.97,0.40589743589742966,596.0,9
instance_0007,1841,165,1,108.0,108.0,0.0,1.0,5
instance_0008,12334,398,10,227.1,227.1,0.0,132.0,7
instance_0009,5581,417,14,82.5,82.5,0.0,29.0,6
instance_0010,14952,482,3,444.0,444.0,0.0,22.0,4
instance_0011,45112,482,10,892.8,898.8,6.0,598.0,7
instance_0012,28263,483,11,566.0,567.64,1.6399999999999864,597.0,7
instance_0013,38214,483,9,747.0,756.78,9.779999999999973,597.0,7
instance_0014,38202,483,6,883.3333333333334,885.17,1.8366666666665878,597.0,8
instance_0015,11541,398,14,166.14285714285714,166.14,0.0028571428571524393,390.0,9
Tiempo total,0,0,0,,,,71.7,0
