instancia,ordenes,pasillos,usados,obj,expected,error,tiempo,it
instance_0001,11321,185,2,631.5,631.5,0.0,6.0,4
instance_0002,2162,165,11,180.63636363636363,180.64,0.003636363636360329,27.0,4
instance_0003,2070,164,5,149.6,149.6,0.0,42.0,4
instance_0004,2448,163,17,155.88235294117646,155.67,0.2123529411764764,596.0,8
instance_0005,6468,179,3,368.0,368.0,0.0,3.0,4
instance_0006,1857,165,37,83.97297297297297,83.97,0.002972972972969501,596.0,8
instance_0007,1841,165,1,108.0,108.0,0.0,1.0,4
instance_0008,12334,398,10,227.1,227.1,0.0,51.0,5
instance_0009,5581,417,14,82.5,82.5,0.0,13.0,4
instance_0010,14952,482,3,444.0,444.0,0.0,22.0,3
instance_0011,45112,482,10,897.3,898.8,1.5,597.0,2
instance_0012,28263,483,11,565.8181818181819,567.64,1.8218181818181165,596.0,4
instance_0013,38214,483,9,755.2222222222222,756.78,1.557777777777801,596.0,4
instance_0014,38202,483,6,879.6666666666666,885.17,5.50333333333333,596.0,4
instance_0015,11541,398,14,166.14285714285714,166.14,0.0028571428571524393,598.0,6
Tiempo total,0,0,0,,,,72.33333333333333,0
