instancia,ordenes,obj,error,tiempo,it
instance_0001,61.0,15.0,0.0,1.0,1.0
instance_0002,7.0,2.0,0.0,1.0,1.0
instance_0003,82.0,12.0,0.0,1.0,1.0
instance_0004,16.0,3.5,0.0,1.0,1.0
instance_0005,2625.0,172.25,54.370000000000005,132.0,1.0
instance_0006,10341.0,691.0,0.0,93.0,1.0
instance_0007,8320.0,329.0,63.25,58.0,1.0
instance_0008,2185.0,152.66666666666666,10.27333333333334,137.0,1.0
instance_0009,70.0,4.416666666666667,0.0033333333333329662,1.0,1.0
instance_0011,1029.0,16.61904761904762,0.17095238095237875,64.0,1.0
instance_0012,133.0,11.25,5.600000000000001,1.0,1.0
instance_0013,8375.0,116.92307692307692,105.67307692307692,77.0,1.0
instance_0014,12402.0,179.27272727272728,61.892727272727285,236.0,1.0
instance_0015,7367.0,149.0,30.36,75.0,1.0
instance_0016,1108.0,81.0,68.33000000000001,3.0,1.0
instance_0017,417.0,36.5,48.5,1.0,1.0
instance_0018,2682.0,116.0,79.5,8.0,1.0
instance_0019,2257.0,202.0,84.8,8.0,1.0
instance_0020,5.0,5.0,197.0,1.0,1.0
Tiempo total,,,,14.983333333333333,
