instancia,ordenes,obj,expected,error,tiempo,it
instance_0001,11321.0,631.5,0.0,631.5,48.0,7.0
instance_0002,2162.0,180.63636363636363,0.0,180.63636363636363,25.0,3.0
instance_0003,2070.0,149.6,0.0,149.6,69.0,5.0
instance_0004,2448.0,154.83333333333334,0.0,154.83333333333334,188.0,5.0
instance_0005,6468.0,368.0,0.0,368.0,26.0,7.0
instance_0006,1857.0,83.0909090909091,0.0,83.0909090909091,184.0,5.0
instance_0007,1841.0,108.0,0.0,108.0,3.0,7.0
instance_0008,12334.0,227.1,0.0,227.1,49.0,5.0
instance_0009,5581.0,82.5,0.0,82.5,26.0,9.0
instance_0010,14952.0,444.0,0.0,444.0,17.0,3.0
instance_0011,45112.0,866.0,0.0,866.0,196.0,3.0
instance_0012,28263.0,563.0,0.0,563.0,154.0,4.0
instance_0013,38214.0,744.3333333333334,0.0,744.3333333333334,194.0,3.0
instance_0014,38202.0,867.3333333333334,0.0,867.3333333333334,142.0,3.0
instance_0015,11541.0,166.14285714285714,0.0,166.14285714285714,164.0,7.0
Tiempo total,,,,,24.75,
