instancia,ordenes,obj,expected,error,tiempo,it
instance_0001,11321.0,631.5,0.0,631.5,78.0,5.0
instance_0002,2162.0,180.63636363636363,0.0,180.63636363636363,30.0,2.0
instance_0003,2070.0,149.6,0.0,149.6,80.0,2.0
instance_0004,2448.0,133.42857142857142,0.0,133.42857142857142,63.0,0.0
instance_0005,6468.0,368.0,0.0,368.0,64.0,3.0
instance_0006,1857.0,83.34375,0.0,83.34375,181.0,2.0
instance_0007,1841.0,108.0,0.0,108.0,1.0,4.0
instance_0008,12334.0,227.1,0.0,227.1,40.0,2.0
instance_0009,5581.0,82.5,0.0,82.5,12.0,4.0
instance_0010,14952.0,444.0,0.0,444.0,16.0,1.0
instance_0011,45112.0,866.0,0.0,866.0,95.0,0.0
instance_0012,28263.0,564.5454545454545,0.0,564.5454545454545,198.0,2.0
instance_0013,38214.0,744.3333333333334,0.0,744.3333333333334,129.0,1.0
instance_0014,38202.0,879.1666666666666,0.0,879.1666666666666,126.0,1.0
instance_0015,11541.0,162.73333333333332,0.0,162.73333333333332,128.0,2.0
Tiempo total,,,,,20.683333333333334,
