instancia,ordenes,obj,expected,error,tiempo,it
instance_0001,11321.0,631.5,0.0,631.5,6.0,4.0
instance_0002,2162.0,180.63636363636363,0.0,180.63636363636363,15.0,2.0
instance_0003,2070.0,149.6,0.0,149.6,40.0,2.0
instance_0004,2448.0,155.66666666666666,0.0,155.66666666666666,121.0,1.0
instance_0005,6468.0,368.0,0.0,368.0,3.0,3.0
instance_0006,1857.0,82.76315789473684,0.0,82.76315789473684,121.0,1.0
instance_0007,1841.0,108.0,0.0,108.0,1.0,4.0
instance_0008,12334.0,227.1,0.0,227.1,55.0,2.0
instance_0009,5581.0,82.5,0.0,82.5,11.0,4.0
instance_0010,14952.0,444.0,0.0,444.0,8.0,1.0
instance_0011,45112.0,887.0,0.0,887.0,194.0,3.0
instance_0012,28263.0,566.2727272727273,0.0,566.2727272727273,124.0,1.0
instance_0013,38214.0,744.3333333333334,0.0,744.3333333333334,126.0,1.0
instance_0014,38202.0,877.0,0.0,877.0,125.0,2.0
instance_0015,11541.0,161.33333333333334,0.0,161.33333333333334,125.0,2.0
Tiempo total,,,,,17.916666666666668,
