instancia,ordenes,obj,expected,error,tiempo,it
instance_0001,11321.0,631.5,0.0,631.5,22.0,6.0
instance_0002,2162.0,180.63636363636363,0.0,180.63636363636363,31.0,4.0
instance_0003,2070.0,149.6,0.0,149.6,51.0,4.0
instance_0004,2448.0,153.33333333333334,0.0,153.33333333333334,62.0,1.0
instance_0005,6468.0,368.0,0.0,368.0,6.0,5.0
instance_0006,1857.0,82.0952380952381,0.0,82.0952380952381,62.0,1.0
instance_0007,1841.0,108.0,0.0,108.0,1.0,6.0
instance_0008,12334.0,227.1,0.0,227.1,69.0,3.0
instance_0009,5581.0,82.5,0.0,82.5,18.0,6.0
instance_0010,14952.0,444.0,0.0,444.0,46.0,3.0
instance_0015,11541.0,162.4,0.0,162.4,78.0,2.0
Tiempo total,,,,,7.433333333333334,
