instancia,ordenes,obj,error,tiempo,it
instance_0001,61.0,15.0,0.0,1.0,3.0
instance_0002,7.0,6.0,4.0,1.0,2.0
instance_0003,82.0,12.0,0.0,1.0,3.0
instance_0004,16.0,3.5,0.0,1.0,5.0
instance_0005,2625.0,171.66666666666666,53.78666666666666,53.0,1.0
instance_0006,10341.0,377.0,314.0,62.0,1.0
instance_0007,8320.0,271.64285714285717,120.60714285714283,54.0,1.0
instance_0008,2185.0,149.47368421052633,13.466315789473668,52.0,1.0
instance_0009,70.0,4.416666666666667,0.0033333333333329662,1.0,4.0
instance_0010,1602.0,16.75,0.03999999999999915,102.0,2.0
instance_0011,1029.0,15.104761904761904,1.745238095238097,53.0,2.0
instance_0012,133.0,11.25,0.0,1.0,4.0
instance_0013,8375.0,117.3846153846154,0.00461538461540556,72.0,3.0
instance_0014,12402.0,135.3548387096774,16.71483870967741,61.0,1.0
instance_0015,7367.0,149.33333333333334,0.0033333333333303017,61.0,4.0
instance_0016,1108.0,85.0,0.0,1.0,2.0
instance_0017,417.0,36.5,0.0,1.0,4.0
instance_0018,2682.0,117.2,0.0,22.0,3.0
instance_0019,2257.0,202.0,0.0,1.0,1.0
instance_0020,5.0,5.0,0.0,1.0,2.0
Tiempo total,,,,10.033333333333333,
