instancia,ordenes,obj,error,tiempo,it
instance_0001,61.0,15.0,0.0,1.0,3.0
instance_0002,7.0,6.0,4.0,1.0,2.0
instance_0003,82.0,12.0,0.0,1.0,4.0
instance_0004,16.0,3.5,0.0,1.0,4.0
instance_0005,2625.0,177.875,59.995000000000005,69.0,2.0
instance_0006,10341.0,691.0,0.0,59.0,4.0
instance_0007,8320.0,392.25,0.0,37.0,4.0
instance_0008,2185.0,160.76470588235293,2.17529411764707,52.0,1.0
instance_0009,70.0,4.416666666666667,0.0033333333333329662,1.0,4.0
instance_0010,1602.0,16.528846153846153,0.26115384615384585,102.0,2.0
instance_0011,1029.0,15.556962025316457,1.2930379746835445,53.0,2.0
instance_0012,133.0,11.25,0.0,2.0,4.0
instance_0013,8375.0,117.3846153846154,0.00461538461540556,54.0,4.0
instance_0014,12402.0,181.63636363636363,62.996363636363625,79.0,3.0
instance_0015,7367.0,149.33333333333334,0.0033333333333303017,24.0,3.0
instance_0016,1108.0,85.0,0.0,1.0,2.0
instance_0017,417.0,36.5,0.0,1.0,3.0
instance_0018,2682.0,117.2,0.0,7.0,4.0
instance_0019,2257.0,202.0,0.0,1.0,1.0
instance_0020,5.0,5.0,0.0,1.0,2.0
Tiempo total,,,,9.116666666666667,
