instancia,ordenes,obj,error,tiempo,it
instance_0001,61.0,15.0,0.0,1.0,3.0
instance_0002,7.0,2.0,0.0,1.0,2.0
instance_0003,82.0,11.666666666666666,0.3333333333333339,1.0,3.0
instance_0004,16.0,3.5,0.0,1.0,3.0
instance_0005,2625.0,177.875,59.995000000000005,58.0,3.0
instance_0006,10341.0,691.0,0.0,21.0,3.0
instance_0007,8320.0,392.25,0.0,13.0,3.0
instance_0008,2185.0,162.94117647058823,0.0011764705882342241,78.0,2.0
instance_0009,70.0,4.416666666666667,0.0033333333333329662,1.0,3.0
instance_0010,1602.0,16.62857142857143,0.16142857142856926,121.0,2.0
instance_0011,1029.0,16.75,0.10000000000000142,22.0,3.0
instance_0012,133.0,11.25,0.0,1.0,4.0
instance_0013,8375.0,116.46153846153848,0.9184615384615142,13.0,3.0
instance_0014,12402.0,177.33333333333334,58.69333333333334,27.0,3.0
instance_0015,7367.0,149.33333333333334,0.0033333333333303017,10.0,3.0
instance_0016,1108.0,85.0,0.0,1.0,3.0
instance_0017,417.0,36.5,0.0,1.0,3.0
instance_0018,2682.0,112.0,5.200000000000003,2.0,3.0
instance_0019,2257.0,202.0,0.0,1.0,2.0
instance_0020,5.0,5.0,0.0,1.0,3.0
Tiempo total,,,,6.25,
