instancia,ordenes,obj,error,tiempo,it
instance_0001,61.0,15.0,0.0,1.0,5.0
instance_0002,7.0,2.0,0.0,1.0,3.0
instance_0003,82.0,12.0,0.0,1.0,5.0
instance_0004,16.0,3.5,0.0,1.0,5.0
instance_0005,2625.0,159.0952380952381,41.21523809523811,79.0,4.0
instance_0006,10341.0,413.6666666666667,277.3333333333333,55.0,4.0
instance_0007,8320.0,392.25,0.0,42.0,6.0
instance_0008,2185.0,162.1764705882353,0.7635294117646936,81.0,4.0
instance_0009,70.0,4.416666666666667,0.0033333333333329662,1.0,6.0
instance_0010,1602.0,16.590476190476192,0.19952380952380722,54.0,3.0
instance_0011,1029.0,14.832,2.0180000000000007,52.0,3.0
instance_0012,133.0,11.25,0.0,1.0,6.0
instance_0013,8375.0,116.92307692307692,0.45692307692307566,52.0,5.0
instance_0014,12402.0,87.94318181818181,30.696818181818188,53.0,2.0
instance_0015,7367.0,149.33333333333334,0.0033333333333303017,52.0,7.0
instance_0016,1108.0,85.0,0.0,3.0,6.0
instance_0017,417.0,36.5,0.0,1.0,6.0
instance_0018,2682.0,117.2,0.0,6.0,6.0
instance_0019,2257.0,202.0,0.0,5.0,7.0
instance_0020,5.0,5.0,0.0,1.0,3.0
Tiempo total,,,,9.033333333333333,
